store_id,sku_id,week,units_sold,total_price,base_price,is_featured_sku,is_display_sku,weekofyear,month,quarter,year,price_ratio,lag_1,lag_2,lag_3,lag_4,lag_8,lag_12,rolling_mean_4,rolling_mean_8,rolling_mean_12
9221,219029,2013-12-08,53,319.9125,319.9125,0,0,49,12,4,2013,1.0,0.0,0.0,0.0,34.0,0.0,0.0,8.5,4.25,2.8333333333333335
9632,216425,2013-12-08,27,120.76875,128.9625,0,1,49,12,4,2013,0.9364640883977899,0.0,0.0,0.0,9.0,0.0,0.0,2.25,1.125,0.75
9250,300021,2013-12-08,65,106.51875,106.51875,0,0,49,12,4,2013,1.0,0.0,0.0,0.0,34.0,0.0,0.0,8.5,4.25,2.8333333333333335
9837,216425,2013-12-08,189,125.4,133.59375,0,1,49,12,4,2013,0.9386666666666668,0.0,0.0,0.0,63.0,0.0,0.0,15.75,7.875,5.25
8991,547934,2013-12-08,35,177.4125,177.4125,0,0,49,12,4,2013,1.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,1.0,0.6666666666666666
9823,600934,2013-12-08,24,490.9125,490.9125,0,0,49,12,4,2013,1.0,0.0,0.0,0.0,7.0,0.0,0.0,1.75,0.875,0.5833333333333334
9250,216418,2013-12-08,445,108.65625,107.5875,0,1,49,12,4,2013,1.009933774834437,0.0,0.0,0.0,182.0,0.0,0.0,45.5,22.75,15.166666666666666
9632,245338,2013-12-08,90,347.70000000000005,469.5375,1,1,49,12,4,2013,0.74051593323217,0.0,0.0,0.0,29.0,0.0,0.0,7.25,3.625,2.4166666666666665
8222,219009,2013-12-08,421,191.30625,209.83125,0,0,49,12,4,2013,0.9117147707979626,0.0,0.0,0.0,158.0,0.0,0.0,39.5,19.75,13.166666666666666
8095,223153,2013-12-08,228,206.98125,236.55,1,1,49,12,4,2013,0.8749999999999999,0.0,0.0,0.0,36.0,0.0,0.0,9.0,4.5,3.0
9456,320485,2013-12-08,57,180.61874999999998,205.9125,1,1,49,12,4,2013,0.8771626297577854,0.0,0.0,0.0,10.0,0.0,0.0,2.5,1.25,0.8333333333333334
9881,222765,2013-12-08,97,235.83749999999998,235.83749999999998,0,0,49,12,4,2013,1.0,0.0,0.0,0.0,85.0,0.0,0.0,21.25,10.625,7.083333333333333
9112,219844,2013-12-08,31,310.65,366.9375,0,0,49,12,4,2013,0.8466019417475728,0.0,0.0,0.0,35.0,0.0,0.0,8.75,4.375,2.9166666666666665
8400,223153,2013-12-08,366,206.98125,236.55,1,1,49,12,4,2013,0.8749999999999999,0.0,0.0,0.0,35.0,0.0,0.0,8.75,4.375,2.9166666666666665
9880,216425,2013-12-08,52,119.34375,128.25,0,0,49,12,4,2013,0.9305555555555556,0.0,0.0,0.0,11.0,0.0,0.0,2.75,1.375,0.9166666666666666
9813,216425,2013-12-08,24,121.8375,121.8375,0,0,49,12,4,2013,1.0,0.0,0.0,0.0,28.0,0.0,0.0,7.0,3.5,2.3333333333333335
9872,245387,2013-12-08,143,348.76875,469.5375,1,1,49,12,4,2013,0.7427921092564491,0.0,0.0,0.0,22.0,0.0,0.0,5.5,2.75,1.8333333333333333
8400,216425,2013-12-08,139,125.4,133.2375,0,1,49,12,4,2013,0.9411764705882353,0.0,0.0,0.0,79.0,0.0,0.0,19.75,9.875,6.583333333333333
8121,216425,2013-12-08,23,119.34375,127.89375,0,0,49,12,4,2013,0.9331476323119777,0.0,0.0,0.0,27.0,0.0,0.0,6.75,3.375,2.25
8094,378934,2013-12-08,72,180.61874999999998,205.9125,1,1,49,12,4,2013,0.8771626297577854,0.0,0.0,0.0,21.0,0.0,0.0,5.25,2.625,1.75
9279,217217,2013-12-08,70,219.09375,232.275,0,1,49,12,4,2013,0.9432515337423313,0.0,0.0,0.0,42.0,0.0,0.0,10.5,5.25,3.5
9813,219844,2013-12-08,36,221.58749999999998,221.58749999999998,0,0,49,12,4,2013,1.0,0.0,0.0,0.0,22.0,0.0,0.0,5.5,2.75,1.8333333333333333
9436,219029,2013-12-08,30,319.9125,319.9125,0,0,49,12,4,2013,1.0,0.0,0.0,0.0,18.0,0.0,0.0,4.5,2.25,1.5
9456,216418,2013-12-08,109,70.18125,88.35,0,1,49,12,4,2013,0.7943548387096775,0.0,0.0,0.0,27.0,0.0,0.0,6.75,3.375,2.25
9043,216425,2013-12-08,64,124.6875,133.59375,0,0,49,12,4,2013,0.9333333333333333,0.0,0.0,0.0,20.0,0.0,0.0,5.0,2.5,1.6666666666666667
9880,223245,2013-12-08,135,218.025,235.8375,0,0,49,12,4,2013,0.9244712990936556,0.0,0.0,0.0,28.0,0.0,0.0,7.0,3.5,2.3333333333333335
8991,546789,2013-12-08,41,178.48125,178.48125,0,0,49,12,4,2013,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.25,0.625,0.4166666666666667
8422,245338,2013-12-08,99,347.70000000000005,469.5375,1,1,49,12,4,2013,0.74051593323217,0.0,0.0,0.0,24.0,0.0,0.0,6.0,3.0,2.0
9436,222087,2013-12-08,60,231.20625,231.20625,0,0,49,12,4,2013,1.0,0.0,0.0,0.0,18.0,0.0,0.0,4.5,2.25,1.5
9371,222087,2013-12-08,58,200.56875,216.24374999999998,0,0,49,12,4,2013,0.9275123558484349,0.0,0.0,0.0,43.0,0.0,0.0,10.75,5.375,3.5833333333333335
9432,378934,2013-12-08,46,181.6875,205.9125,1,1,49,12,4,2013,0.8823529411764706,0.0,0.0,0.0,10.0,0.0,0.0,2.5,1.25,0.8333333333333334
8400,222087,2013-12-08,82,204.13125000000002,226.21875,0,0,49,12,4,2013,0.9023622047244095,0.0,0.0,0.0,71.0,0.0,0.0,17.75,8.875,5.916666666666667
9813,217390,2013-12-08,64,168.15,168.15,0,0,49,12,4,2013,1.0,0.0,0.0,0.0,30.0,0.0,0.0,7.5,3.75,2.5
9371,219029,2013-12-08,66,334.1625,334.1625,0,0,49,12,4,2013,1.0,0.0,0.0,0.0,30.0,0.0,0.0,7.5,3.75,2.5
9498,216233,2013-12-08,150,115.42500000000001,121.48125,0,1,49,12,4,2013,0.9501466275659824,0.0,0.0,0.0,43.0,0.0,0.0,10.75,5.375,3.5833333333333335
9043,219009,2013-12-08,106,206.98125,225.8625,0,0,49,12,4,2013,0.9164037854889588,0.0,0.0,0.0,53.0,0.0,0.0,13.25,6.625,4.416666666666667
9164,223245,2013-12-08,66,231.5625,231.5625,0,0,49,12,4,2013,1.0,0.0,0.0,0.0,25.0,0.0,0.0,6.25,3.125,2.0833333333333335
